127.0.0.1, 2016-10-05 11:29:31, GET, /Review/default/index, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:29:31, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:31:05, GET, /admin/default/site, HTTP/1.1, 200, 0.120000
127.0.0.1, 2016-10-05 11:31:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-05 11:31:36, POST, /admin/default/site, HTTP/1.1, 303, 1.664000
127.0.0.1, 2016-10-05 11:31:36, GET, /admin/default/site, HTTP/1.1, 200, 0.224000
127.0.0.1, 2016-10-05 11:31:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-05 11:31:39, GET, /Review/default/index, HTTP/1.1, 200, 0.156000
127.0.0.1, 2016-10-05 11:31:39, GET, /Review/static/css/index.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/css/myapp.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/css/index.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:41, GET, /Review/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:42, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.000000
, 0.000000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/css/index.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:44, GET, /Review/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:45, GET, /Review/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/css/myapp.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-05 11:31:48, GET, /Review/static/js/calendar.js, HTTP/1.1, 304, 0.004000
